finding_id,category,status,summary,repository_path,line_or_symbol,environment,feature_flag,confidence,report_file
"E046","guardian-access","OBSERVED","Guardian access_level view_only wordt niet als writebeperking afgedwongen.","supabase/migrations/20260707165845_phase_7_parent_portal_self_service.sql; apps/web/lib/domain/parent-portal.ts","current_user_can_view_participant; linked participant lookup","all","none","high","09-consent-and-data-subject-rights.md"
"E047","guardian-governance","UNKNOWN","Geen custody-, authority- of guardianconflictafhandeling aangetroffen.","apps/web; supabase/migrations","repository-wide guardian/authority workflow search","all","none","medium","09-consent-and-data-subject-rights.md"
"E048","auth-risk","CONFLICT","Membership is direct active en must-change/invite-expiry gelden niet uniform voor API-toegang.","apps/web/lib/auth/invitations.ts; apps/web/lib/auth/server-guard.ts; apps/web/app/api/files/tenant-document/[id]/route.ts","ensureAuthUser; requirePrivateShellContext; GET","all","none","high","08-security-and-access-controls.md"
"E049","session","UNKNOWN","Supabase SSR beheert cookieattributes; logout, MFA en sessiebeheer ontbreken in appcode.","apps/web/proxy.ts; apps/web/lib/supabase/server.ts; apps/web","cookie setAll; repository-wide signOut/MFA search","all","Supabase provider settings","medium","08-security-and-access-controls.md"
"E050","webhook-security","OBSERVED","Mollie-webhook is begrensd en verifieert providerstate/metadata voor lokale verwerking.","apps/web/app/api/webhooks/mollie/route.ts; apps/web/lib/domain/mollie-contract.ts","POST; parseMollieWebhookRequest","config dependent","Mollie provider active","high","08-security-and-access-controls.md"
"E052","browser-storage","CONFLICT","Analytics consent, attribution en GA-dedupe gebruiken browserstorage; revoke wist attributiesnapshot niet.","apps/web/lib/analytics/client.ts; apps/web/components/analytics/public-analytics.tsx","consentStorageKey; attributionStorageKey; sendLeadEventOnce","public with measurement ID","analytics consent","high","06-cookies-storage-pwa-and-tracking.md"
"E053","browser-storage","OBSERVED","DataTable saved views bewaren mogelijk persoonsfilters zonder user- of tenantscope en zonder expiry.","apps/web/components/ui/data-table.tsx; apps/web/components/admin/placement-cockpit.tsx","storageKey localStorage; admin.placement","authenticated admin","none","high","06-cookies-storage-pwa-and-tracking.md"
"E054","vendor-supabase","OBSERVED","Supabase levert Database, Auth en private Storage via actieve SDK-clients.","apps/web/package.json; apps/web/lib/supabase","Supabase dependencies and clients","all configured","Supabase envs","high","05-vendors-and-integrations.md"
"E055","vendor-email","OBSERVED","SendGrid API of configureerbare SMTP verstuurt mail; platformsecrets zijn encrypted in DB.","apps/web/lib/email/transactional.ts; apps/web/lib/email/platform-settings.ts; apps/web/lib/email/smtp.ts","sendGridEmail; resolveEmailConfiguration; sendSmtpEmail","config dependent","platform_email_settings.enabled","high","05-vendors-and-integrations.md"
"E056","vendor-google","OBSERVED","GA4-script en events laden uitsluitend na grant en geldige measurement ID.","apps/web/components/analytics/public-analytics.tsx; apps/web/app/(tenant-public)/layout.tsx","initializeGoogleAnalytics; PublicAnalytics","public","analytics_enabled; measurement ID","high","05-vendors-and-integrations.md"
"E057","vendor-webhook","OBSERVED","Monitor kan aggregate alerts naar Slack-, Teams-, Discord- of generic webhookformaat sturen.","scripts/operations/monitor-operational-health.mjs; .github/workflows/operational-monitor.yml","sendAlert; formatAlertPayload","staging/production if enabled","MONITORING_ENABLED; MONITOR_ALERTS_ENABLED","high","05-vendors-and-integrations.md"
"E058","backup","OBSERVED","GitHub Actions bewaart release-artifacts en handmatige encrypted Storagebackups met vaste retenties.",".github/workflows/deploy.yml; .github/workflows/storage-object-backup.yml; docs/STORAGE_BACKUP_RUNBOOK.md","upload-artifact retention-days; backup workflow","staging/production","workflow_dispatch","high","07-retention-deletion-export-and-backups.md"
"E059","rights","OBSERVED","Geen complete individuele DSAR-, export-, delete-, restriction- of objectionflow aangetroffen.","apps/web/app; apps/web/lib/domain","repository-wide rights workflow search","all","none","high","09-consent-and-data-subject-rights.md"
"E060","negative-inventory","OBSERVED","Geen actieve AI/LLM of veelgenoemde analytics/support/map/captcha providers aangetroffen.","apps/web/package.json; apps/web; scripts","dependency/import/env/fetch search","repository","none","high","05-vendors-and-integrations.md"
"E061","commercial","OBSERVED","Start/Groei/Pro en supportclaims zijn hardcoded marketing zonder prijs/entitlementmodel.","apps/web/components/marketing/commercial-subpages.tsx","plans; PricingPage; DemoPage","public","none","high","11-commercial-and-contract-facts.md"
"E062","white-label","INFERRED","Brandingconfig is beheerbaar maar publieke/portal/e-mail/PWA-runtimeconsumptie is niet volledig.","supabase/migrations/20260723120000_phase_25_premium_operations.sql; apps/web/app/(tenant-admin)/admin/branding/page.tsx","tenant_branding; branding page","all","branding status; pwa_enabled","high","11-commercial-and-contract-facts.md"
"E063","marketing","OBSERVED","Demo en contact gebruiken mailto en creëren geen app-CRMlead.","apps/web/components/marketing/commercial-subpages.tsx","DemoPage; ContactPage","public","none","high","11-commercial-and-contract-facts.md"
"E064","parent-portal","OBSERVED","Lesannulering en inhaalcredit bewaren reden, policy outcome en configureerbare expiry.","supabase/migrations/20260707165845_phase_7_parent_portal_self_service.sql","lesson_cancellations; catch_up_credits","all","tenant cancellation settings","high","03-processing-and-data-flows.md"
"E065","onboarding","OBSERVED","Platformonboarding provisiont tenant, owner/staff, domein, branding, programma, resources, groep en betaalplan.","apps/web/lib/domain/tenant-lifecycle-actions.ts","provisionTenantAction","all","none","high","03-processing-and-data-flows.md"
"E066","automation","OBSERVED","Top-3 intakeadvies is een lokale gewogen formule met reasons en menselijke vervolgkeuze.","apps/web/lib/domain/intake-recommendation-contract.ts","rankIntakeSlots","public intake","none","high","10-children-automation-and-dpia-input.md"
"E067","token-security","OBSERVED","Plaatsingsaanbod gebruikt een bearer token in URL; alleen hash staat in DB en adminquery kan link nesten.","apps/web/lib/domain/placement-actions.ts; supabase/migrations/20260707163627_phase_6_waitlist_placement_slot_offers.sql","createSlotOfferAction; respondToSlotOfferAction; token_hash","all","none","high","06-cookies-storage-pwa-and-tracking.md"
"E068","imports","OBSERVED","Importrollback laat raw jobs/rows en mogelijk aangemaakte Auth/profile/securitydata achter.","apps/web/lib/domain/import-actions.ts","rollbackImportAction; rollbackManifest","all","none","high","07-retention-deletion-export-and-backups.md"
"E069","testing","CONFLICT","Journey Bot heeft een production override en handmatige soft cleanup laat Authdata achter.","apps/web/lib/domain/journey-bot.ts; .env.example","assertJourneyBotEnvironment; archiveJourneyBotRun; production flag","staging intended/production possible","ALLOW_JOURNEY_BOT_IN_PRODUCTION","high","10-children-automation-and-dpia-input.md"
"E070","offboarding-risk","CONFLICT","Offboardingexport kan onvolledig ready worden en delete dekt Auth, providers en orphan Storage niet.","apps/web/app/api/platform/offboarding/[id]/export/route.ts; apps/web/lib/domain/tenant-lifecycle-actions.ts","tenantTables; export error handling; permanentlyDeleteTenantAction","all","none","high","07-retention-deletion-export-and-backups.md"
"E071","monitoring","CONFLICT","Monitoringcode ondersteunt beide envs, docs verschillen en LOG_RETENTION_DAYS prunet niets.",".github/workflows/operational-monitor.yml; scripts/operations/monitor-operational-health.mjs; scripts/operations/audit-communications-foundation.mjs","schedule matrix; checks; log-retention validation","staging/production","MONITORING_ENABLED; LOG_RETENTION_DAYS","high","08-security-and-access-controls.md"
"E072","responsibility","OBSERVED","Tenantadmins bepalen intake, dossiers, planning, communicatie, billing en tenantconfig.","apps/web/app/(tenant-admin); apps/web/lib/domain","tenant admin pages and actions","all","tenant settings","high","04-role-and-responsibility-candidates.md"
"E073","responsibility","UNKNOWN","NXTTRACK beheert platformcode/control-plane maar exacte juridische entiteit ontbreekt.","apps/web/app/(platform-admin); .github/workflows; docs","platform routes; operational ownership variables","all","none","medium","04-role-and-responsibility-candidates.md"
"E074","responsibility","OBSERVED","Ouder levert intake, accepteert aanbod en gebruikt profiel-, les- en billingacties.","apps/web/app/(portaal); apps/web/lib/domain/parent-portal-actions.ts","parent portal routes and actions","all","none","high","04-role-and-responsibility-candidates.md"
"E075","responsibility","OBSERVED","Instructeur legt binnen rol/assignment aanwezigheid en ontwikkeling vast.","apps/web/lib/domain/instructor-actions.ts","attendance/progress actions","all","none","high","04-role-and-responsibility-candidates.md"
"E077","billing-automation","OBSERVED","Billing schedule draait automatisch voor staging; productie vereist manual dispatch en tenantflags.",".github/workflows/billing-collection-automation.yml; apps/web/app/api/internal/billing/collections/route.ts","schedule job; POST config filters","staging schedule/production manual","recurring_enabled; automatic_collection_enabled","high","05-vendors-and-integrations.md"
"E078","url-data","OBSERVED","Password-resetlink voegt het e-mailadres als queryparameter toe.","apps/web/lib/auth/password-reset.ts","appendQuery resetUrl with email","all","none","high","06-cookies-storage-pwa-and-tracking.md"
"E079","pwa","CONFLICT","PWA-copy suggereert offline wijzigingen terwijl de SW alleen statische assets cachet.","apps/web/components/pwa-register.tsx; apps/web/public/sw.js","PwaRegister copy; fetch handler","production build","NODE_ENV=production","high","06-cookies-storage-pwa-and-tracking.md"
"E080","backup","UNKNOWN","Actuele Supabase managed-backup/PITR/Auth-dekking is providerstate en docs bevatten tijdgebonden claims.","docs/PRODUCTION_DATABASE_RESTORE_RUNBOOK.md; docs/PRODUCTION_CONFIGURATION_AUDIT.md","backup prerequisites and historical status","production","provider plan","medium","07-retention-deletion-export-and-backups.md"
"E081","retention","OBSERVED","Veel tabellen archiveren/statussen zonder hard delete of categoriecleanup.","supabase/migrations; apps/web/lib/domain","status fields; archive actions; retention search","all","none","high","07-retention-deletion-export-and-backups.md"
"E082","security-headers","CONFLICT","Headers zijn deels sterk maar CSP mist resource-/scriptallowlists.","apps/web/next.config.ts","securityHeaders","all","none","high","08-security-and-access-controls.md"
"E083","security-testing","OBSERVED","RLS coverage, FORCE verifier, role smoke en browserisolatietests bestaan.","scripts/db/audit-rls-coverage.mjs; scripts/db/verify-force-rls.mjs; scripts/db/rls-role-smoke.mjs; apps/web/tests/e2e/sprint4-isolation.spec.ts","audit and test entrypoints","staging/repository","RLS_ROLE_SMOKE_REQUIRED","high","08-security-and-access-controls.md"
"E084","ci-security","OBSERVED","CI/hardening combineert typecheck, dependency-, auth-, RLS-, migration-, build- en E2Echecks.","package.json; .github/workflows/ci.yml; .github/workflows/deploy.yml","hardening scripts and workflow steps","repository/staging/production","workflow inputs","high","08-security-and-access-controls.md"
"E085","internal-api","OBSERVED","Billing- en Journey endpoints eisen minimaal 32-char secret met timing-safe vergelijking.","apps/web/app/api/internal/billing/collections/route.ts; apps/web/app/api/internal/journey-bot/tick/route.ts","authorizedInternalRequest","staging/production if invoked","BILLING_AUTOMATION_SECRET; CRON_SECRET","high","08-security-and-access-controls.md"
"E086","audit","INFERRED","Procesaudits zijn versnipperd en niet uniform immutable of volledig.","supabase/migrations; apps/web/lib/domain","placement/import/billing/tenant/Journey event models","all","none","high","08-security-and-access-controls.md"
"E087","consent","OBSERVED","Intakeconsent is een required boolean zonder tekst-/purposeversion of withdrawalflow.","apps/web/components/public/intake-wizard.tsx; apps/web/lib/domain/intake-actions.ts","consent checkbox; consent_given insert","public intake","none","high","09-consent-and-data-subject-rights.md"
"E088","consent","OBSERVED","Mollie mandate bewaart consentversion/timestamps en ouder kan mandate revoken.","apps/web/lib/domain/billing-recurring-actions.ts; supabase/migrations/20260723213000_phase_28_incasso_consent_delivery_audit.sql","revokeMollieMandateAction; consent columns","config dependent","Mollie recurring","high","09-consent-and-data-subject-rights.md"
"E089","rights","OBSERVED","Ouder heeft functionele inzage en kan alleen eigen naam/telefoon corrigeren.","apps/web/app/(portaal); apps/web/app/(portaal)/portaal/profiel/page.tsx; apps/web/lib/domain/parent-portal-actions.ts","parent routes; updateParentProfileAction","all","none","high","09-consent-and-data-subject-rights.md"
"E090","automation","CONFLICT","DOB/min-maxleeftijd bestaan maar live intake- en placementalgoritmen gebruiken leeftijd niet.","apps/web/lib/domain/intake-recommendation-contract.ts; apps/web/lib/domain/placement.ts; supabase/migrations/20260707160455_phase_4_core_domain_model.sql","rankIntakeSlots; computePlacementScores; programs age fields","all","none","high","10-children-automation-and-dpia-input.md"
"E091","white-label","CONFLICT","Custom domains worden opgeslagen/geclassificeerd maar proxy zet alleen voor tenant_subdomain een tenant-slug.","apps/web/lib/tenant/resolution.ts; apps/web/proxy.ts; apps/web/lib/domain/public-site.ts","custom_domain resolution; header assignment; slug lookup","all","TENANT_BASE_DOMAINS","high","11-commercial-and-contract-facts.md"
"E092","crm","PLANNED","Leadrapport/GA zijn actief maar volledige CRM-pipeline is expliciet nog productization.","apps/web/app/(tenant-admin)/admin/rapportages/page.tsx; apps/web/app/(tenant-admin)/admin/instellingen/page.tsx","lead report; remaining productization copy","all","analytics_enabled","high","11-commercial-and-contract-facts.md"
"E093","marketing","OBSERVED","Marketing is noindex en hardcoded logo-/stat-achtige content is geen bewezen klant- of livemetric.","apps/web/app/layout.tsx; apps/web/components/marketing/nxttrack-marketing.tsx","robots metadata; trustLogos; stats","public","none","high","11-commercial-and-contract-facts.md"
